Title,Date,Link,Description,Bill_Number,PDF Link
"H.R. 7327, Worker, Retiree, and Employer Recovery Act of 2008","Sun, 04 Jan 2009 20:00:00 -0500",https://www.cbo.gov/publication/20443,"Estimate of the direct spending and revenue effects estimate for the bill as cleared by the Congress on December 11, 2008, and signed by the President on December 23, 2008
",H.R. 7327,https://www.cbo.gov//sites/default/files/110th-congress-2007-2008/costestimate/hr73270.pdf
"H.R. 7311, William Wilberforce Trafficking Victims Protection Reauthorization Act of 2008","Tue, 23 Dec 2008 01:00:00 -0500",https://www.cbo.gov/publication/20441,"Estimate of the direct spending and revenue effects of the bill as cleared by the Congress on December 10, 2008, and signed by the President on December 23, 2008
",H.R. 7311,https://www.cbo.gov//system/files/2018-07/hr73110.pdf
"H.R. 6893, Fostering Connections to Success and Increasing Adoptions Act of 2008","Tue, 23 Dec 2008 01:00:00 -0500",https://www.cbo.gov/publication/20442,"Estimate of the direct spending and revenue effects of the bill as signed by the President on October 7, 2008",H.R. 6893,https://www.cbo.gov//sites/default/files/110th-congress-2007-2008/costestimate/hr68930.pdf
"H.R. 6867, Unemployment Compensation Extension Act of 2008","Mon, 22 Dec 2008 01:00:00 -0500",https://www.cbo.gov/publication/20438,"Estimate of the direct spending and revenue effects of the bill as cleared by the Congress on November 20, 2008, and signed by the President on November 21, 2008",H.R. 6867,https://www.cbo.gov//sites/default/files/110th-congress-2007-2008/costestimate/hr68670.pdf
"H.R. 2608, SSI Extension for Elderly and Disabled Refugees Act","Mon, 22 Dec 2008 01:00:00 -0500",https://www.cbo.gov/publication/20439,"Estimate of the direct spending and revenue effects of the bill as cleared by the Congress on September 17, 2008, and signed by the President on September 30, 2008",H.R. 2608,https://www.cbo.gov//sites/default/files/110th-congress-2007-2008/costestimate/hr26080.pdf
"H.R. 7321, Auto Industry Financing and Restructuring Act","Thu, 11 Dec 2008 12:00:00 -0500",https://www.cbo.gov/publication/41751,"Cost estimate for the bill as passed by the House of Representatives on December 10, 2008.
",H.R. 7321,https://www.cbo.gov//sites/default/files/110th-congress-2007-2008/costestimate/hr73210.pdf
"H.R. 7321, Auto Industry Financing and Restructuring Act","Thu, 11 Dec 2008 01:00:00 -0500",https://www.cbo.gov/publication/20437,"Cost estimate for the bill as passed by the House of Representatives on December 10, 2008
",H.R. 7321,https://www.cbo.gov//sites/default/files/110th-congress-2007-2008/costestimate/hr7321.pdf
"S. 3715, Auto Industry Emergency Bridge Loan Act","Mon, 08 Dec 2008 01:00:00 -0500",https://www.cbo.gov/publication/20435,"Cost estimate for the bill as introduced on November 20, 2008 including impact of proposed amendments
",S. 3715,https://www.cbo.gov//sites/default/files/110th-congress-2007-2008/costestimate/s3715bondamendmentsltr0.pdf
"S. 3715, Auto Industry Emergency Bridge Loan Act and draft legislation","Fri, 05 Dec 2008 12:00:00 -0500",https://www.cbo.gov/publication/41749,"Cost estimate for the bill as introduced on November 20, 2008; and draft legislation released by the House Committee on Financial Services on November 17, 2008
",S. 3715,https://www.cbo.gov//sites/default/files/110th-congress-2007-2008/costestimate/s3715drafthoyerltr0.pdf
Alternative proposals to provide $34 billion in loans to the automobile industry,"Fri, 05 Dec 2008 12:00:00 -0500",https://www.cbo.gov/publication/41750,"This letter responds to a request for information about how alternative proposals to provide $34 billion in bridge loans to the automobile industry would affect the federal budget.&nbsp;
",,https://www.cbo.gov//sites/default/files/110th-congress-2007-2008/costestimate/sprattautoltr0.pdf
"S. 3715, Auto Industry Emergency Bridge Loan Act","Thu, 04 Dec 2008 01:00:00 -0500",https://www.cbo.gov/publication/20432,"Cost estimate for the bill as introduced on November 20, 2008.
",S. 3715,https://www.cbo.gov//sites/default/files/110th-congress-2007-2008/costestimate/s37150.pdf
"H.R. 7082, Inmate Tax Fraud Prevention Act of 2008","Fri, 21 Nov 2008 01:00:00 -0500",https://www.cbo.gov/publication/20409,"Estimate of the direct spending and revenue effects of the bill as cleared by the Congress on October 2, 2008 and signed by the President on October 15, 2008",H.R. 7082,https://www.cbo.gov//sites/default/files/110th-congress-2007-2008/costestimate/hr70820.pdf
"H.R. 7112, Comprehensive Iran Sanctions, Accountability, and Divestment Act of 2008","Fri, 21 Nov 2008 01:00:00 -0500",https://www.cbo.gov/publication/20410,"Cost estimate for the bill as passed by the U.S. House of Representatives on September 26, 2008",H.R. 7112,https://www.cbo.gov//sites/default/files/110th-congress-2007-2008/costestimate/hr71120.pdf
"H.R. 4854, False Claims Act Correction Act of 2007","Fri, 21 Nov 2008 01:00:00 -0500",https://www.cbo.gov/publication/20411,"Cost estimate for the bill as ordered reported by the House Committee on the Judiciary on July 17, 2008",H.R. 4854,https://www.cbo.gov//sites/default/files/110th-congress-2007-2008/costestimate/hr48541.pdf
"S. 3689, Economic Recovery Act of 2008","Tue, 18 Nov 2008 01:00:00 -0500",https://www.cbo.gov/publication/20408,"Cost estimate for the bill as introduced on November 17, 2008.
",S. 3689,https://www.cbo.gov//sites/default/files/110th-congress-2007-2008/costestimate/senatestimulusinfrastructurebyrdltr0.pdf
"S. 3426, Foreign Service Overseas Pay Equity Act of 2008","Fri, 14 Nov 2008 01:00:00 -0500",https://www.cbo.gov/publication/20406,"Cost estimate for the bill as ordered reported by the Senate Committee on Foreign Relations on September 23, 2008",S. 3426,https://www.cbo.gov//sites/default/files/110th-congress-2007-2008/costestimate/s34260.pdf
"S. 1193, A bill to direct the Secretary of the Interior to take into trust two parcels of federal land for the benefit of certain Indian Pueblos in the state of New Mexico","Wed, 12 Nov 2008 01:00:00 -0500",https://www.cbo.gov/publication/20405,"Cost estimate for the bill as passed by the House of Representatives on September 29, 2008, with a proposed Senate amendment dated October 1, 2008",S. 1193,https://www.cbo.gov//sites/default/files/110th-congress-2007-2008/costestimate/s1193omniland0.pdf
"S. 2842, Aging Water Infrastructure and Maintenance Act","Wed, 05 Nov 2008 01:00:00 -0500",https://www.cbo.gov/publication/20403,"Cost estimate for the bill as reported by the Senate Committee on Energy and Natural Resources on September 16, 2008",S. 2842,https://www.cbo.gov//sites/default/files/110th-congress-2007-2008/costestimate/s28420.pdf
"S. 2974, Arkansas Valley Conduit Act of 2008","Wed, 05 Nov 2008 01:00:00 -0500",https://www.cbo.gov/publication/20404,"Cost estimate for the bill as reported by the Senate Committee on Energy and Natural Resources on September 16, 2008",S. 2974,https://www.cbo.gov//sites/default/files/110th-congress-2007-2008/costestimate/s297400.pdf
"H.R. 7222, An act to extend the Andean Trade Preference Act, and for other purposes","Tue, 28 Oct 2008 00:00:00 -0400",https://www.cbo.gov/publication/20394,"Estimate of the direct spending and revenue effects of the bill as cleared by the Congress on October 3, 2008, and signed by the President on October 16, 2008",H.R. 7222,https://www.cbo.gov//sites/default/files/110th-congress-2007-2008/costestimate/hr7222pgo0.pdf
"S. 1007, Western Hemisphere Energy Compact","Tue, 28 Oct 2008 00:00:00 -0400",https://www.cbo.gov/publication/20395,"Cost estimate for the bill as reported by the Senate Committee on Foreign Relations on September 23, 2008",S. 1007,https://www.cbo.gov//sites/default/files/110th-congress-2007-2008/costestimate/s10070.pdf
"S. 3179, Lovelace Respiratory Research Institute Land Conveyance Act","Tue, 28 Oct 2008 00:00:00 -0400",https://www.cbo.gov/publication/20397,"Cost estimate for the bill as reported by the Senate Committee on Energy and Natural Resources on September 16, 2008",S. 3179,https://www.cbo.gov//sites/default/files/110th-congress-2007-2008/costestimate/s31790.pdf
"S. 3384, Information Technology Investment Oversight Enhancement and Waste Prevention Act of 2008","Tue, 28 Oct 2008 00:00:00 -0400",https://www.cbo.gov/publication/20398,"Cost estimate for the bill as reported by the Senate Committee on Homeland Security and Government Affairs on October 1, 2008",S. 3384,https://www.cbo.gov//sites/default/files/110th-congress-2007-2008/costestimate/s33840.pdf
"S. 2448, Surface Mining Control and Reclamation Act of 1977","Mon, 27 Oct 2008 00:00:00 -0400",https://www.cbo.gov/publication/20396,"Cost estimate for the bill as reported by the Senate Committee on Energy and Natural Resources on September 16, 2008",S. 2448,https://www.cbo.gov//sites/default/files/110th-congress-2007-2008/costestimate/s24480.pdf
"S. 3474, FISMA Act of 2008","Mon, 27 Oct 2008 00:00:00 -0400",https://www.cbo.gov/publication/20399,"Cost estimate for the bill as reported by the Senate Committee on Homeland Security and Governmental Affairs on October 1, 2008",S. 3474,https://www.cbo.gov//sites/default/files/110th-congress-2007-2008/costestimate/s34740.pdf
"H.R. 5680, An act to amend certain laws relating to Native Americans, and for other purposes","Fri, 24 Oct 2008 00:00:00 -0400",https://www.cbo.gov/publication/20392,"Cost estimate for the bill as reported by the Senate Committee on Indian Affairs on September 25, 2008",H.R. 5680,https://www.cbo.gov//sites/default/files/110th-congress-2007-2008/costestimate/hr5680-s0.pdf
"S. 1193, An act to direct the Secretary of the Interior to take into trust two parcels of federal land for the benefit of certain Indian Pueblos in the state of New Mexico, and for other purposes","Fri, 24 Oct 2008 00:00:00 -0400",https://www.cbo.gov/publication/20393,"Cost estimate for the bill as passed by the House of Representatives on September 29, 2008",S. 1193,https://www.cbo.gov//sites/default/files/110th-congress-2007-2008/costestimate/s1193-h0.pdf
"H.R. 6707, Taking Responsible Action for Community Safety Act","Fri, 24 Oct 2008 00:00:00 -0400",https://www.cbo.gov/publication/20385,"Cost estimate for the bill as ordered reported by the House Committee on Transportation and Infrastructure on September 24, 2008",H.R. 6707,https://www.cbo.gov//sites/default/files/110th-congress-2007-2008/costestimate/hr67070.pdf
