Title,Date,Link,Description,Bill_Number,PDF Link
"H.R. 5235, Former Prisoners of War Special Compensation Act of 2002","Mon, 16 Dec 2002 01:00:00 -0500",https://www.cbo.gov/publication/14246,"Cost estimate for the bill as introduced on July 25, 2002",H.R. 5235,https://www.cbo.gov//sites/default/files/107th-congress-2001-2002/costestimate/hr523560.pdf
"H.R. 4621, Disabled Veterans&#039; Caregiver Compensation Act","Wed, 27 Nov 2002 01:00:00 -0500",https://www.cbo.gov/publication/14227,"Cost estimate for the bill as introduced on April 30, 2002",H.R. 4621,https://www.cbo.gov//sites/default/files/107th-congress-2001-2002/costestimate/hr462100.pdf
"S. 2480, Law Enforcement Officers Safety Act of 2002","Tue, 19 Nov 2002 01:00:00 -0500",https://www.cbo.gov/publication/14217,"Cost estimate for the bill as reported by the Senate Committee on the Judiciary on November 14, 2002",S. 2480,https://www.cbo.gov//sites/default/files/107th-congress-2001-2002/costestimate/s24801.pdf
"S. 2541, Identity Theft Penalty Enhancement Act of 2002","Tue, 19 Nov 2002 01:00:00 -0500",https://www.cbo.gov/publication/14218,"Cost estimate for the bill as reported by the Senate Committee on the Judiciary on November 14, 2002",S. 2541,https://www.cbo.gov//sites/default/files/107th-congress-2001-2002/costestimate/s25411.pdf
"S. 2934, An act to amend title 36, United States Code, to clarify the requirements for eligibility in the American Legion","Mon, 18 Nov 2002 01:00:00 -0500",https://www.cbo.gov/publication/14212,"Cost estimate for the bill as passed by the Senate on November 14, 2002",S. 2934,https://www.cbo.gov//sites/default/files/107th-congress-2001-2002/costestimate/s29340.pdf
"S. 3070, A bill to authorize appropriations for the Merit Systems Protection Board and the Office of Special Counsel, and for other purposes","Mon, 18 Nov 2002 01:00:00 -0500",https://www.cbo.gov/publication/14219,"Cost estimate for the bill as ordered reported by the Senate Committee on Governmental Affairs on October 9, 2002",S. 3070,https://www.cbo.gov//sites/default/files/107th-congress-2001-2002/costestimate/s30700.pdf
"S. 556, Clean Power Act of 2002","Mon, 18 Nov 2002 01:00:00 -0500",https://www.cbo.gov/publication/14220,"Cost estimate for the bill as ordered reported by the Senate Committee on Environment and Public Works on June 27, 2002",S. 556,https://www.cbo.gov//sites/default/files/107th-congress-2001-2002/costestimate/s55600.pdf
"H.R. 5127, A bill to amend title 38, United States Code, to provide for payment by the Secretary of Veterans Affairs of dependency and indemnity compensation to the surviving spouse of a deceased veteran who for at least one year preceding death","Fri, 15 Nov 2002 01:00:00 -0500",https://www.cbo.gov/publication/14207,"Cost estimate for the bill as introduced on July 15, 2002",H.R. 5127,https://www.cbo.gov//sites/default/files/107th-congress-2001-2002/costestimate/hr51270.pdf
"H.R. 3180, An act to consent to certain amendments of the New Hampshire-Vermont Interstate School Compact","Fri, 15 Nov 2002 01:00:00 -0500",https://www.cbo.gov/publication/14215,"Cost estimate for the bill as reported by the Senate Committee on the Judiciary on November 14, 2002",H.R. 3180,https://www.cbo.gov//sites/default/files/107th-congress-2001-2002/costestimate/hr318000.pdf
"H.R. 4840, Sound Science for Endangered Species Act Planning Act of 2002","Fri, 15 Nov 2002 01:00:00 -0500",https://www.cbo.gov/publication/14216,"Cost estimate for the bill as reported by the House Committee on Resources on October 15, 2002",H.R. 4840,https://www.cbo.gov//sites/default/files/107th-congress-2001-2002/costestimate/hr48401.pdf
