Title,Date,Link,Description,Bill_Number,PDF Link
"H.R. 4278, Restore Department of Veterans Affairs Accountability Act of 2023","Fri, 15 Sep 2023 15:35:00 -0400",https://www.cbo.gov/publication/59559,"As ordered reported by the House Committee on Veterans Affairs on July 26, 2023
",H.R. 4278,https://www.cbo.gov//system/files/2023-09/hr4278.pdf
"S. 1199, STOP CSAM Act of 2023","Thu, 14 Sep 2023 15:02:00 -0400",https://www.cbo.gov/publication/59567,"As reported by the Senate Committee on the Judiciary on May 15, 2023
",S. 1199,https://www.cbo.gov//system/files/2023-09/s1199.pdf
"Estimated Direct Spending and Revenue Effects of H.R. 5378, the Lower Costs, More Transparency Act","Thu, 14 Sep 2023 15:02:00 -0400",https://www.cbo.gov/publication/59568,"As posted on the website of the Clerk of the House on September 13, 2023
",H.R. 5378,https://www.cbo.gov//system/files/2023-09/hr5378table.pdf
"Legislation considered under suspension of the Rules of the House of Representatives during the week of September 18, 2023","Wed, 13 Sep 2023 10:03:00 -0400",https://www.cbo.gov/publication/59554,"The Majority Leader of the House of Representatives announces bills that will be considered under suspension of the rules in that chamber. CBO estimates the effects of those bills on direct spending and revenues.
",,https://www.cbo.gov//system/files/2023-09/suspensions_week_of_September_18_2023_0.pdf
"S. 2273, Native American Child Protection Act","Tue, 12 Sep 2023 15:55:00 -0400",https://www.cbo.gov/publication/59563,"As ordered reported by the Senate Committee on Indian Affairs on July 19, 2023
",S. 2273,https://www.cbo.gov//system/files/2023-09/s2273.pdf
"S. 994, Strong Communities Act of 2023","Tue, 12 Sep 2023 11:03:00 -0400",https://www.cbo.gov/publication/59562,"As passed by the U.S. Senate on July 26, 2023
",S. 994,https://www.cbo.gov//system/files/2023-09/s0994.pdf
"H.R. 890, Guidance Out Of Darkness Act of 2023","Mon, 11 Sep 2023 15:57:00 -0400",https://www.cbo.gov/publication/59561,"As ordered reported by the House Committee on Oversight and Accountability on July 12, 2023
",H.R. 890,https://www.cbo.gov//system/files/2023-09/hr0890.pdf
"H.R. 485, Protecting Health Care for All Patients Act of 2023","Fri, 08 Sep 2023 17:03:00 -0400",https://www.cbo.gov/publication/59558,"As reported by the House Committee on Energy and Commerce on
May 17, 2023
",H.R. 485,https://www.cbo.gov//system/files/2023-09/hr485_0.pdf
"S. 1153, National Manufacturing Advisory Council for the 21st Century Act","Fri, 08 Sep 2023 10:41:00 -0400",https://www.cbo.gov/publication/59557,"As ordered reported by the Senate Committee on Commerce, Science, and Transportation on July 27, 2023
",S. 1153,https://www.cbo.gov//system/files/2023-09/s1153.pdf
"S. 2201, American Cybersecurity Literacy Act","Thu, 07 Sep 2023 17:48:00 -0400",https://www.cbo.gov/publication/59553,"As ordered reported by the Senate Committee on Commerce, Science, and Transportation on July 27, 2023
",S. 2201,https://www.cbo.gov//system/files/2023-09/s2201_0.pdf
"S. 2116, Strengthening Support for American Manufacturing Act","Thu, 07 Sep 2023 17:45:00 -0400",https://www.cbo.gov/publication/59555,"As ordered reported by the Senate Committee on Commerce, Science, and Transportation on July 27, 2023
",S. 2116,https://www.cbo.gov//system/files/2023-09/s2116.pdf
"H.R. 3943, Servicemember Employment Protection Act of 2023","Thu, 07 Sep 2023 11:19:00 -0400",https://www.cbo.gov/publication/59484,"As ordered reported by the House Committee on Veterans’ Affairs on July 26, 2023
",H.R. 3943,https://www.cbo.gov//system/files/2023-09/hr3943.pdf
"H.R. 984, Commitment to Veteran Support and Outreach","Thu, 07 Sep 2023 11:18:00 -0400",https://www.cbo.gov/publication/59480,"As ordered reported by the House Committee on Veterans’ Affairs on July 26, 2023
",H.R. 984,https://www.cbo.gov//system/files/2023-09/hr0984_0.pdf
"H.R. 1767, Student Veteran Benefit Restoration Act","Wed, 06 Sep 2023 16:14:00 -0400",https://www.cbo.gov/publication/59485,"As ordered reported by the House Committee on Veterans’ Affairs on July 26, 2023
",H.R. 1767,https://www.cbo.gov//system/files/2023-09/hr1767_0.pdf
"Legislation considered under suspension of the Rules of the House of Representatives during the week of  September 11, 2023","Wed, 06 Sep 2023 16:13:00 -0400",https://www.cbo.gov/publication/59545,"The Majority Leader of the House of Representatives announces bills that will be considered under suspension of the rules in that chamber. CBO estimates the effects of those bills on direct spending and revenues.
",,https://www.cbo.gov//system/files/2023-09/suspensions_week_of_September_11_2023_1.pdf
"H.R. 1581, America Works Act of 2023","Wed, 06 Sep 2023 13:54:00 -0400",https://www.cbo.gov/publication/59552,"As introduced on March 14, 2023
",H.R. 1581,https://www.cbo.gov//system/files/2023-09/hr1581_letter.pdf
"H.R. 4467, DHS Border Services Contracts Review Act","Wed, 06 Sep 2023 13:51:00 -0400",https://www.cbo.gov/publication/59551,"As ordered reported by the House Committee on Homeland Security on July 12, 2023
",H.R. 4467,https://www.cbo.gov//system/files/2023-09/hr4467.pdf
"S. 484, Combating Human Rights Abuses Act of 2023","Tue, 05 Sep 2023 16:23:00 -0400",https://www.cbo.gov/publication/59546,"As ordered reported by the Senate Committee on Commerce, Science, and Transportation on July 27, 2023
",S. 484,https://www.cbo.gov//system/files/2023-09/s484.pdf
"S. 1278, a bill to designate the Federal building located at 985 Michigan Avenue in Detroit, Michigan, as the “Rosa Parks Federal Building”, and for other purposes","Tue, 05 Sep 2023 16:21:00 -0400",https://www.cbo.gov/publication/59549,"As reported by the Senate Committee on Environment and Public Works on July 26, 2023
",S. 1278,https://www.cbo.gov//system/files/2023-09/s1278.pdf
"H.R. 532, a bill to designate the Federal building and United States courthouse located at 600 East First Street in Rome, Georgia, as the “Harold L. Murphy Federal Building and United States Courthouse”","Tue, 05 Sep 2023 15:15:00 -0400",https://www.cbo.gov/publication/59548,"As ordered reported by the House Committee on Transportation and Infrastructure on July 27, 2023
",H.R. 532,https://www.cbo.gov//system/files/2023-09/hr532.pdf
"S. 10, VA Clinician Appreciation, Recruitment, Education, Expansion, and Retention Support (CAREERS) Act of 2023","Tue, 05 Sep 2023 14:03:00 -0400",https://www.cbo.gov/publication/59346,"As ordered reported by the Senate Committee on Veterans’ Affairs on February 16, 2023
",S. 10,https://www.cbo.gov//system/files/2023-09/s0010.pdf
"H.R. 3581, Caregiver Outreach and Program Enhancement Act","Wed, 30 Aug 2023 16:14:00 -0400",https://www.cbo.gov/publication/59540,"As ordered reported by the House Committee on Veterans’ Affairs on
July 26, 2023
",H.R. 3581,https://www.cbo.gov//system/files/2023-08/hr3581.pdf
"S. 1253, Securing America’s Ports of Entry Act of 2023","Wed, 30 Aug 2023 12:08:00 -0400",https://www.cbo.gov/publication/59539,"As ordered reported by the Senate Committee on Homeland Security and Governmental Affairs on July 19, 2023
",S. 1253,https://www.cbo.gov//system/files/2023-08/s1253.pdf
"S. 2195, Diesel Emissions Reduction Act of 2023","Wed, 30 Aug 2023 12:07:00 -0400",https://www.cbo.gov/publication/59537,"As reported by the Senate Committee on Environment and Public Works on July 26, 2023
",S. 2195,https://www.cbo.gov//system/files/2023-08/s2195.pdf
"S. 2283, PFAS-Free Procurement Act of 2023","Wed, 30 Aug 2023 12:06:00 -0400",https://www.cbo.gov/publication/59536,"As ordered reported by the Senate Committee on Homeland Security and Governmental Affairs on July 26,2023
",S. 2283,https://www.cbo.gov//system/files/2023-08/S2283.pdf
"S. 943, Small Business Disaster Damage Fairness Act of 2023","Tue, 29 Aug 2023 16:30:00 -0400",https://www.cbo.gov/publication/59534,"As reported by the Senate Committee on Small Business and Entrepreneurship on July 25, 2023
",S. 943,https://www.cbo.gov//system/files/2023-08/s943_rev.pdf
"S. 2248, Vessel Tracking for Sanctions Enforcement Act of 2023","Tue, 29 Aug 2023 16:30:00 -0400",https://www.cbo.gov/publication/59535,"As ordered reported by the Senate Committee on Homeland Security and Governmental Affairs on July 26, 2023
",S. 2248,https://www.cbo.gov//system/files/2023-08/s2248.pdf
"H.R. 2989, Save Our Sequoias Act","Tue, 29 Aug 2023 16:29:00 -0400",https://www.cbo.gov/publication/59533,"As ordered reported by the House Committee on Natural Resources on May 17, 2023
",H.R. 2989,https://www.cbo.gov//system/files/2023-08/hr2989.pdf
"H.R. 1209, FOCA Act of 2023","Tue, 29 Aug 2023 16:28:00 -0400",https://www.cbo.gov/publication/59518,"As ordered reported by the House Committee on Oversight and Accountability on July 12, 2023
",H.R. 1209,https://www.cbo.gov//system/files/2023-08/hr1209.pdf
