Title,Date,Link,Description,Bill_Number,PDF Link
"S. 4091, Social Security Trust Funds Restoration Act of 2006","Wed, 03 Jan 2007 20:00:00 -0500",https://www.cbo.gov/publication/18277,"Estimate of direct spending and revenues effects for the bill as cleared by the Congress on December 9, 2006, and signed by the President on December 22, 2006
",S. 4091,https://www.cbo.gov//sites/default/files/109th-congress-2005-2006/costestimate/s4091pgo0.pdf
"H.R. 2429, Fair Minimum Wage Act of 2005","Fri, 29 Dec 2006 01:00:00 -0500",https://www.cbo.gov/publication/18276,"H.R. 2429, Fair Minimum Wage Act of 2005",H.R. 2429,https://www.cbo.gov//sites/default/files/109th-congress-2005-2006/costestimate/hr24291.pdf
"H.R. 6111, Tax Relief and Health Care Act of 2006","Thu, 28 Dec 2006 01:00:00 -0500",https://www.cbo.gov/publication/18274,"Estimate of direct spending and revenues effects for the bill as cleared by the Congress on December 8, 2006, and signed by the President on December 20, 2006",H.R. 6111,https://www.cbo.gov//sites/default/files/109th-congress-2005-2006/costestimate/hr6111pgo0.pdf
"H.R. 5946, Magnuson-Stevens Fishery Conservation and Management Reauthorization Act of 2006","Wed, 27 Dec 2006 01:00:00 -0500",https://www.cbo.gov/publication/18268,"Estimate of direct spending and revenues effects for the bill as cleared by the Congress on December 9, 2006",H.R. 5946,https://www.cbo.gov//sites/default/files/109th-congress-2005-2006/costestimate/hr5946pgo0.pdf
"H.R. 6164, National Institutes of Health Reform Act of 2006","Wed, 27 Dec 2006 01:00:00 -0500",https://www.cbo.gov/publication/18269,"Estimate of direct spending and revenues effects for the bill as cleared by the Congress on December 9, 2006.",H.R. 6164,https://www.cbo.gov//sites/default/files/109th-congress-2005-2006/costestimate/hr6164pgo0.pdf
"H.R. 6407, Postal Accountability and Enhancement Act","Wed, 27 Dec 2006 01:00:00 -0500",https://www.cbo.gov/publication/18270,"Estimate of direct spending and revenues effects for the bill as cleared by the Congress on December 9, 2006, and signed by the President on December 20, 2006",H.R. 6407,https://www.cbo.gov//sites/default/files/109th-congress-2005-2006/costestimate/hr6407pgo0.pdf
"S. 3546, Dietary Supplement and Nonprescription Drug Consumer Protection Act","Wed, 27 Dec 2006 01:00:00 -0500",https://www.cbo.gov/publication/18271,"Estimate of direct spending and revenues effects for the bill as cleared by the Congress on December 9, 2006, and signed by the President on December 22, 2006
",S. 3546,https://www.cbo.gov//sites/default/files/109th-congress-2005-2006/costestimate/s3546pgo0.pdf
"H.R. 4000, An act to authorize the Secretary of the Interior to revise certain repayment contracts with the Bostwick Irrigation District in Nebraska, the Kansas Bostwick Irrigation District No. 2, the Frenchman-Cambridge Irrigation District, and","Fri, 22 Dec 2006 01:00:00 -0500",https://www.cbo.gov/publication/18267,"Estimate of direct spending and revenues effects for the bill as cleared by the Congress on November 16, 2006, and signed by the President on December 12, 2006",H.R. 4000,https://www.cbo.gov//sites/default/files/109th-congress-2005-2006/costestimate/hr4000pgo0.pdf
"S. 2464, A bill to revise a provision relating to a repayment obligation of the Fort McDowell Yavapai Nation under the Fort McDowell Indian Community Water Rights Settlement Act of 1990, and for other purposes","Tue, 12 Dec 2006 01:00:00 -0500",https://www.cbo.gov/publication/18265,"Estimate of direct spending and revenues effects for the bill as cleared by the Congress on September 28, 2006, and signed by the President on November 27, 2006",S. 2464,https://www.cbo.gov//sites/default/files/109th-congress-2005-2006/costestimate/s2464pgo0.pdf
"H.R. 6408, Tax Relief and Health Care Act of 2006","Thu, 07 Dec 2006 01:00:00 -0500",https://www.cbo.gov/publication/18263,"Cost estimate for the bill as introduced on December 7, 2006",H.R. 6408,https://www.cbo.gov//sites/default/files/109th-congress-2005-2006/costestimate/hr6408thom0.pdf
"S. 2856, Financial Services Regulatory Relief Act of 2006","Wed, 29 Nov 2006 01:00:00 -0500",https://www.cbo.gov/publication/18253,"Estimate of direct spending and revenues effects for the bill as cleared by the Congress on September 30, 2006, and signed by the President on October 13, 2006",S. 2856,https://www.cbo.gov//sites/default/files/109th-congress-2005-2006/costestimate/s2856pgo1.pdf
"S. 3778, Small Business Reauthorization and Improvements Act of 2006","Wed, 15 Nov 2006 01:00:00 -0500",https://www.cbo.gov/publication/18249,"Cost estimate for the bill as ordered reported by the Senate Committee on Small Business and Entrepreneurship on August 2, 2006
",S. 3778,https://www.cbo.gov//sites/default/files/109th-congress-2005-2006/costestimate/s37780.pdf
"S. 3718, Pool and Spa Safety Act","Mon, 13 Nov 2006 01:00:00 -0500",https://www.cbo.gov/publication/18248,"Cost estimate for the bill as reported by the Senate Committee on Commerce, Science, and  Transportation
on September 29, 2006",S. 3718,https://www.cbo.gov//sites/default/files/109th-congress-2005-2006/costestimate/s37180.pdf
"S. 394, OPEN Government Act of 2005","Thu, 09 Nov 2006 01:00:00 -0500",https://www.cbo.gov/publication/18246,"Cost estimate for the bill as reported by the Senate Committee on the Judiciary on September 21, 2006",S. 394,https://www.cbo.gov//sites/default/files/109th-congress-2005-2006/costestimate/s39410.pdf
"H.R. 5782, Pipeline Safety Improvement Act of 2006","Thu, 09 Nov 2006 01:00:00 -0500",https://www.cbo.gov/publication/18247,"Cost estimate for the bill as ordered reported by the House Committee on Energy and Commerce on September 27, 2006",H.R. 5782,https://www.cbo.gov//sites/default/files/109th-congress-2005-2006/costestimate/hr5782hec0.pdf
