Title,Date,Link,Description,Bill_Number,PDF Link
"H.R. 5661, Medicare, Medicaid, and SCHIP Benefits Improvement and Protection Act of 2000 (Incorporated in H.R. 4577, the Consolidated Appropriations Act)","Thu, 20 Sep 2001 20:00:00 -0400",https://www.cbo.gov/publication/13285,"Pay-as-you-go estimate for the bill as cleared by the Congress on December 15, 2000 and signed by the President on December 21, 2000
",H.R. 5661,https://www.cbo.gov//sites/default/files/106th-congress-1999-2000/costestimate/hr566100.pdf
"H.R. 4577, Estimated Budgetary Effects of the Medicare, Medicaid, and SCHIP Benefits Improvement and Protection Act of 2000","Wed, 25 Apr 2001 20:00:00 -0400",https://www.cbo.gov/publication/13029,"Pay-as-you-go estimate for the bill as enacted as part of the Consolidated Appropriations Act (H.R. 4577; Public Law 106-554)
",H.R. 4577,https://www.cbo.gov//sites/default/files/106th-congress-1999-2000/costestimate/hr457700.pdf
"H.R. 5661, Estimated Budgetary Effects of the Medicare, Medicaid, and SCHIP Benefits Improvement and Protection Act of 2000","Wed, 25 Apr 2001 20:00:00 -0400",https://www.cbo.gov/publication/13030,"Pay-as-you-go estimate for the bill as enacted as part of the Consolidated Appropriations Act (H.R. 4577; Public Law 106-554)
",H.R. 5661,https://www.cbo.gov//sites/default/files/106th-congress-1999-2000/costestimate/hr56611.pdf
"H.R. 5640, American Homeownership and Economic Opportunity Act of 2000","Mon, 08 Jan 2001 20:00:00 -0500",https://www.cbo.gov/publication/12953,"Pay-as-you-go estimate for the bill as cleared by the Congress on December 7, 2000, and signed by the President on December 27, 2000
",H.R. 5640,https://www.cbo.gov//sites/default/files/106th-congress-1999-2000/costestimate/hr564000.pdf
"H.R. 3514, Chimpanzee Health Improvement, Maintenance, and Protection Act","Thu, 04 Jan 2001 20:00:00 -0500",https://www.cbo.gov/publication/12950,"Pay-as-you-go estimate for the bill as cleared by the Congress on December 6, 2000, and signed into law by the President on December 20, 2000
",H.R. 3514,https://www.cbo.gov//sites/default/files/106th-congress-1999-2000/costestimate/hr3514omb0.pdf
"H.R. 207, Federal Physicians Comparability Allowance Amendments of 2000","Thu, 04 Jan 2001 20:00:00 -0500",https://www.cbo.gov/publication/12951,"Pay-as-you-go estimate for the bill as cleared by the Congress on December 15, 2000, and signed by the President on December 28, 2000
",H.R. 207,https://www.cbo.gov//sites/default/files/106th-congress-1999-2000/costestimate/hr207omb0.pdf
"S. 1694, An act to direct the Secretary of the Interior to conduct a study on the reclamation and reuse of water and wastewater in the state of Hawaii, and for other purposes","Thu, 28 Dec 2000 01:00:00 -0500",https://www.cbo.gov/publication/12945,"Pay-as-you-go estimate for the bill as cleared by the Congress on December 7, 2000, and signed into law by the President on December 23, 2000",S. 1694,https://www.cbo.gov//sites/default/files/106th-congress-1999-2000/costestimate/s169410.pdf
"H.R. 4577, Consolidated Appropriations Act, 2001","Thu, 28 Dec 2000 01:00:00 -0500",https://www.cbo.gov/publication/12949,"Pay-as-you-go estimate for the bill as cleared by the Congress on December 15, 2000, and signed by the President on December 21, 2000, as Public Law 106-554",H.R. 4577,https://www.cbo.gov//sites/default/files/106th-congress-1999-2000/costestimate/hr4577omb0.pdf
"H.R. 5528, Omnibus Indian Advancement Act","Wed, 27 Dec 2000 01:00:00 -0500",https://www.cbo.gov/publication/12941,"Pay-as-you-go estimate for the bill as cleared by the Congress on December 11, 2000, and subsequently amended by S.Con.Res. 161 on December 14, 2000",H.R. 5528,https://www.cbo.gov//sites/default/files/106th-congress-1999-2000/costestimate/hr55280.pdf
"S. 3137, James Madison Commemoration Commission Act","Fri, 22 Dec 2000 01:00:00 -0500",https://www.cbo.gov/publication/12947,"Pay-as-you-go estimate for the bill as signed by the President on December 19, 2000",S. 3137,https://www.cbo.gov//sites/default/files/106th-congress-1999-2000/costestimate/s31370.pdf
