Title,Date,Link,Description,Bill_Number,PDF Link
"H.R. 1288, Medicare Medically Necessary Dental Care Act of 1997","Tue, 26 Jan 1999 20:00:00 -0500",https://www.cbo.gov/publication/11337,"Cost estimate for the bill as introduced on April 10, 1997
",H.R. 1288,https://www.cbo.gov//sites/default/files/105th-congress-1997-1998/costestimate/hr12880.pdf
"H.R. 3616, Strom Thurmond National Defense Authorization Act for Fiscal Year 1999","Tue, 03 Nov 1998 01:00:00 -0500",https://www.cbo.gov/publication/11317,"Pay-as-you-go estimate for the bill as enacted on October 17, 1998",H.R. 3616,https://www.cbo.gov//sites/default/files/105th-congress-1997-1998/costestimate/hr3616omb0.pdf
"S. 1693, National Parks Omnibus Management Act of 1998","Mon, 02 Nov 1998 01:00:00 -0500",https://www.cbo.gov/publication/11313,"Pay-as-you-go estimate for the bill as cleared by the Congress on October 14, 1998",S. 1693,https://www.cbo.gov//sites/default/files/105th-congress-1997-1998/costestimate/s1693pg0.pdf
"H.R. 1836, Federal Employees Health Care Protection Act of 1998","Mon, 02 Nov 1998 01:00:00 -0500",https://www.cbo.gov/publication/11319,"Pay-as-you-go estimate for the bill as enacted on October 19, 1998",H.R. 1836,https://www.cbo.gov//sites/default/files/105th-congress-1997-1998/costestimate/hr1836pg0.pdf
"S. 1525, Police, Fire, and Emergency Officers Educational Assistance Act of 1998","Thu, 29 Oct 1998 01:00:00 -0500",https://www.cbo.gov/publication/11308,"Pay-as-you-go estimate for the bill as cleared by the Congress on October 15, 1998",S. 1525,https://www.cbo.gov//sites/default/files/105th-congress-1997-1998/costestimate/s1525-p0.pdf
"H.R. 2204, Coast Guard Authorization Act of 1998","Thu, 29 Oct 1998 01:00:00 -0500",https://www.cbo.gov/publication/11309,"Pay-as-you-go estimate for the bill as cleared by the Congress on October 21, 1998",H.R. 2204,https://www.cbo.gov//sites/default/files/105th-congress-1997-1998/costestimate/hr2204-p0.pdf
"H.R. 4328, Omnibus Consolidated and Emergency Supplemental Appropriation Act, 1999","Thu, 29 Oct 1998 01:00:00 -0500",https://www.cbo.gov/publication/11297,"Pay-as-you-go estimate for the bill as enacted on October 21, 1998
",H.R. 4328,https://www.cbo.gov//sites/default/files/105th-congress-1997-1998/costestimate/hr4328om0.pdf
"S. 1718, An act to amend the Weir Farm National Historic Site Establishment Act of 1990 to authorize the acquisition of additional acreage for the historic site to permit the development of visitor and administrative facilities...","Wed, 28 Oct 1998 01:00:00 -0500",https://www.cbo.gov/publication/11311,"Pay-as-you-go estimate for the bill as cleared by the Congress on October 14, 1998",S. 1718,https://www.cbo.gov//sites/default/files/105th-congress-1997-1998/costestimate/s1718p0.pdf
"H.R. 3790, Library of Congress Bicentennial Commemorative Coin Act of 1998","Wed, 28 Oct 1998 01:00:00 -0500",https://www.cbo.gov/publication/11314,"Pay-as-you-go estimate for the bill as enacted on October 19, 1998",H.R. 3790,https://www.cbo.gov//sites/default/files/105th-congress-1997-1998/costestimate/hr3790om0.pdf
"H.R. 4821, An act to extend into fiscal year 1999 the visa processing period for diversity applicants whose visa processing was suspended during fiscal year 1998 due to embassy bombings","Wed, 28 Oct 1998 01:00:00 -0500",https://www.cbo.gov/publication/11299,"Pay-as-you-go estimate for the bill as cleared by the Congress on October 21, 1998",H.R. 4821,https://www.cbo.gov//sites/default/files/105th-congress-1997-1998/costestimate/hr4821pg0.pdf
"H.R. 678, Thomas Alva Edison Commemorative Coin Act","Wed, 28 Oct 1998 01:00:00 -0500",https://www.cbo.gov/publication/11315,"Pay-as-you-go estimate for the bill as cleared by the Congress on October 7, 1998",H.R. 678,https://www.cbo.gov//sites/default/files/105th-congress-1997-1998/costestimate/hr678omb0.pdf
"H.R. 4110, Veterans Programs Enhancement Act of 1998","Wed, 28 Oct 1998 01:00:00 -0500",https://www.cbo.gov/publication/11300,"Pay-as-you-go estimate for the bill as cleared by the Congress on October 21, 1998",H.R. 4110,https://www.cbo.gov//sites/default/files/105th-congress-1997-1998/costestimate/hr4110pg0.pdf
"H.R. 4655, Iraq Liberation Act of 1998","Wed, 28 Oct 1998 01:00:00 -0500",https://www.cbo.gov/publication/11301,"Pay-as-you-go estimate for the bill as cleared by the Congress on October 7, 1998",H.R. 4655,https://www.cbo.gov//sites/default/files/105th-congress-1997-1998/costestimate/hr4655pg0.pdf
"H.R. 1023, Ricky Ray Hemophilia Relief Fund Act of 1998","Tue, 27 Oct 1998 01:00:00 -0500",https://www.cbo.gov/publication/11302,"Pay-as-you-go estimate for the bill as cleared by the Congress on October 21, 1998",H.R. 1023,https://www.cbo.gov//sites/default/files/105th-congress-1997-1998/costestimate/hr1023p0.pdf
"Public Law 105-274, District of Columbia Courts and Justice Technical Corrections Act of 1998","Tue, 27 Oct 1998 01:00:00 -0500",https://www.cbo.gov/publication/11303,"Pay-as-you-go estimate for the bill as cleared by the Congress on October 14, 1998
",H.R. 4566,https://www.cbo.gov//sites/default/files/105th-congress-1997-1998/costestimate/pl1052740.pdf
"H.R. 633, Department of State Special Agents Retirement Act of 1998","Tue, 27 Oct 1998 01:00:00 -0500",https://www.cbo.gov/publication/11304,"Pay-as-you-go estimate for the bill as cleared by the Congress on October 20, 1998",H.R. 633,https://www.cbo.gov//sites/default/files/105th-congress-1997-1998/costestimate/hr633p0.pdf
"S. 1333, An act to amend the Land and Water Conservation Fund Act of 1965 to allow national park units that cannot charge an entrance or admission fee to retain other fees and charges","Tue, 27 Oct 1998 01:00:00 -0500",https://www.cbo.gov/publication/11310,"Pay-as-you-go estimate for the bill as cleared by the Congress on October 10, 1998",S. 1333,https://www.cbo.gov//sites/default/files/105th-congress-1997-1998/costestimate/s1333p0.pdf
