Title,Date,Link,Description,Bill_Number
"S. 2241, GI bill Consumer Awareness Act of 2012","Fri, 04 Jan 2013 16:45:24 -0500",https://www.cbo.gov/publication/43833,"As ordered reported by the Senate Committee on Veterans’ Affairs on September 12, 2012",S. 2241
"H.R. 8, American Taxpayer Relief Act of 2012","Tue, 01 Jan 2013 16:45:24 -0500",https://www.cbo.gov/publication/43829,"As passed by the Senate on January 1, 2013
",H.R. 8
Detail on Estimated Budgetary Effects of Title VI (Medicare and Other Health Extensions) of the American Taxpayer Relief Act of 2012,"Tue, 01 Jan 2013 16:45:24 -0500",https://www.cbo.gov/publication/43830,"As passed by the Senate on January 1, 2013
",H.R. 8
"A bill to provide a one-year extension of the Food, Conservation, and Energy Act of 2008, with certain modifications and exceptions","Sun, 30 Dec 2012 18:34:39 -0500",https://www.cbo.gov/publication/43828,"As posted on the Web site of the U.S. House of Representatives on December 29, 2012",
"S. 1744, Guardian Accountability and Senior Protection Act","Thu, 20 Dec 2012 18:31:33 -0500",https://www.cbo.gov/publication/43827,"As reported by the Senate Committee on the Judiciary on July, 12, 2012",S. 1744
"S. 3202, Dignified Burial and Other Veterans&#039; Benefits Improvement Act of 2012","Wed, 19 Dec 2012 10:19:00 -0500",https://www.cbo.gov/publication/43794,"Statutory Pay-As-You-Go Effects for S. 3202, as provided to CBO on December 18, 2012
",S. 3202
"Disaster Relief Appropriations Act, 2013","Wed, 12 Dec 2012 22:19:00 -0500",https://www.cbo.gov/publication/43762,"As posted on the Web site of the Senate Committee on Appropriations on December 12, 2012
",
"S. 3313, Women Veterans and Other Health Care Improvements Act of 2012","Mon, 03 Dec 2012 19:13:00 -0500",https://www.cbo.gov/publication/43743,"As ordered reported by the Senate Committee on Veterans' Affairs on September 12, 2012",S. 3313
"H.R. 6429, STEM Jobs Act of 2012","Wed, 28 Nov 2012 19:27:17 -0500",https://www.cbo.gov/publication/43740,"As posted on the Web site of the House Committee on Rules (Committee Print 112-34) and subsequently amended on November 28, 2012
",H.R. 6429
"S. 3340, Mental Health Access to Continued Care and Enhancement of Support Services Act of 2012","Mon, 26 Nov 2012 15:00:00 -0500",https://www.cbo.gov/publication/43725,"As ordered reported by the Senate Committee on Veterans’ Affairs on September 12, 2012 ",S. 3340
"S. 1345, the Spokane Tribe of Indians of the Spokane Reservation Grand Coulee Dam Equitable Compensation Settlement Act","Wed, 14 Nov 2012 19:07:00 -0500",https://www.cbo.gov/publication/43719,"As ordered reported by the Senate Committee on Indian Affairs on September 13, 2012",S. 1345
"H.R. 2467, Bridgeport Indian Colony Land Trust, Health, and Economic Development Act of 2012","Wed, 14 Nov 2012 19:00:00 -0500",https://www.cbo.gov/publication/43677,"As ordered reported by the Senate Committee on Indian Affairs on September 21, 2012",H.R. 2467
"S. 810, Great Ape Protection and Cost Savings Act of 2011","Wed, 14 Nov 2012 13:21:15 -0500",https://www.cbo.gov/publication/43715,"As ordered reported by the Senate Committee on Environment and Public Works on July 25, 2012",S. 810
"S. 3525, Sportsmen&#039;s Act of 2012","Tue, 13 Nov 2012 17:40:00 -0500",https://www.cbo.gov/publication/43714,"Pay-As-You-Go Effects for S. 3525, as Introduced on September 12, 2012",S. 3525
"S. 3341, Quadrennial Diplomacy and Development Review Act of 2012","Tue, 13 Nov 2012 17:39:00 -0500",https://www.cbo.gov/publication/43705,"As passed by the Senate on September 22, 2012",S. 3341
"H.R. 1063, Strengthening Medicare and Repaying Taxpayers Act of 2011","Fri, 09 Nov 2012 19:04:09 -0500",https://www.cbo.gov/publication/43706,"As ordered reported by the House Committee on Energy and Commerce on September 20, 2012",H.R. 1063
"H.R. 1206, Access to Professional Health Insurance Advisors Act of 2011","Wed, 07 Nov 2012 19:16:00 -0500",https://www.cbo.gov/publication/43702,"As ordered reported by the House Committee on Energy and Commerce on September 20, 2012",H.R. 1206
"S. 1894, Justice Against Sponsors of Terrorism Act","Wed, 07 Nov 2012 16:06:00 -0500",https://www.cbo.gov/publication/43701,"As ordered reported by the Senate Committee on the Judiciary on September 20, 2012",S. 1894
