Title,Date,Link,Description,Bill_Number
"S. 2024, Sandia Pueblo Settlement Technical Amendment Act","Tue, 06 Nov 2012 15:00:00 -0500",https://www.cbo.gov/publication/43688,"As ordered reported by the Senate Committee on Indian Affairs on September 20, 2012",S. 2024
"S. 2279, R.M.S. Titanic Maritime Memorial Preservation Act of 2012","Tue, 06 Nov 2012 15:00:00 -0500",https://www.cbo.gov/publication/43689,"As ordered reported by the Senate Committee on Commerce, Science, and Transportation on July 31, 2012",S. 2279
"S. 3523, Innovative Design Protection Act of 2012","Tue, 06 Nov 2012 15:00:00 -0500",https://www.cbo.gov/publication/43690,"As ordered reported by the Senate Committee on the Judiciary on September 20, 2012",S. 3523
"S. 2215, Increasing American Jobs Through Greater Exports to Africa Act of 2012","Wed, 31 Oct 2012 11:40:00 -0400",https://www.cbo.gov/publication/43682,"As ordered reported by the Senate Committee on Foreign Relations on September 19, 2012",S. 2215
"S. 3322, the Servicemembers&#039; Protection Act of 2012","Wed, 24 Oct 2012 15:38:59 -0400",https://www.cbo.gov/publication/43679,"As ordered reported by the Senate Committee on Veterans’ Affairs on September 12, 2012 ",S. 3322
"S. 65, Hawaiian Homeownership Opportunity Act of 2011","Wed, 24 Oct 2012 15:30:00 -0400",https://www.cbo.gov/publication/43678,"As ordered reported by the Senate Committee on Indian Affairs on September 20, 2012",S. 65
"S. 3331, Intercountry Adoption Universal Accreditation Act of 2012","Thu, 18 Oct 2012 14:27:14 -0400",https://www.cbo.gov/publication/43673,"As ordered reported by the Senate Committee on Foreign Relations on September 19, 2012 ",S. 3331
"S. 3546, a bill to amend the Native American Programs Act of 1974 to reauthorize a provision to ensure the survival and continuing vitality of Native American languages","Wed, 17 Oct 2012 15:25:37 -0400",https://www.cbo.gov/publication/43672,"As ordered reported by the Senate Committee on Indian Affairs on September 20, 2012",S. 3546
"S. 3486, Patent Law Treaties Implementation Act of 2012","Tue, 16 Oct 2012 18:00:00 -0400",https://www.cbo.gov/publication/43667,"As passed by the Senate on September 22, 2012",S. 3486
"S. 3548, Native American Veterans’ Memorial Amendments Act of 2012","Tue, 16 Oct 2012 18:00:00 -0400",https://www.cbo.gov/publication/43668,"As ordered reported by the Senate Committee on Indian Affairs on September 20, 2012",S. 3548
"H.R. 4053, Improper Payments Elimination and Recovery Improvement Act of 2012","Thu, 11 Oct 2012 14:00:10 -0400",https://www.cbo.gov/publication/43664,"As ordered reported by the House Committee on Oversight and Government Reform on September 20, 2012",H.R. 4053
"S. 3250, the Sexual Assault Forensic Evidence Registry Act of 2012","Tue, 02 Oct 2012 18:04:10 -0400",https://www.cbo.gov/publication/43654,"As ordered reported by the Senate Committee on the Judiciary on September 20, 2012",S. 3250
"S. 847, Safe Chemicals Act of 2011","Tue, 02 Oct 2012 09:00:00 -0400",https://www.cbo.gov/publication/43651,"As ordered reported by the Senate Committee on Environment and Public Works on July 25, 2012",S. 847
"S. 1735, a bill to approve the transfer of Yellow Creek Port properties in Iuka, Mississippi","Thu, 27 Sep 2012 11:26:00 -0400",https://www.cbo.gov/publication/43645,"As ordered reported by the Senate Committee Environment and Public Works on July 25, 2012",S. 1735
"H.R. 5747, Military Family Home Protection Act","Fri, 21 Sep 2012 15:25:28 -0400",https://www.cbo.gov/publication/43642,"As ordered reported by the House Committee on Veterans’ Affairs on July 11, 2012",H.R. 5747
"S. 1440, Prematurity Research Expansion and Education for Mothers who deliver Infants Early Reauthorization Act","Thu, 20 Sep 2012 13:55:24 -0400",https://www.cbo.gov/publication/43640,"As ordered reported by the Senate Committee on Health, Education, Labor, and Pensions on September 19, 2012",S. 1440
"H.R. 3973, Native American Energy Act","Thu, 20 Sep 2012 13:55:20 -0400",https://www.cbo.gov/publication/43634,"As ordered reported by the House Committee on Natural Resources on May 16, 2012",H.R. 3973
"S. 3391, Taking Essential Steps to Testing Act","Wed, 19 Sep 2012 18:09:34 -0400",https://www.cbo.gov/publication/43630,"As ordered reported by the Senate Committee on Health, Education, Labor, and Pensions on September 19, 2012",S. 3391
"H.R. 5948, a bill to amend title 38, United States Code, to improve the supervision of fiduciaries of veterans under the laws administered by the Secretary of Veterans Affairs, and for other purposes","Tue, 18 Sep 2012 23:59:00 -0400",https://www.cbo.gov/publication/43624,"As ordered reported by the House Committee on Veterans’ Affairs
on July 11, 2012",H.R. 5948
"S. 2259, Veterans&#039; Compensation Cost-of-Living Adjustment Act of 2012","Tue, 18 Sep 2012 23:59:00 -0400",https://www.cbo.gov/publication/43625,"As ordered reported by the Senate Committee on Veterans’ Affairs
on September 12, 2012",S. 2259
"S. 1707, Veterans Second Amendment Protection Act","Tue, 18 Sep 2012 23:59:00 -0400",https://www.cbo.gov/publication/43626,"As ordered reported by the Senate Committee on Veterans’ Affairs
on September 12, 2012 ",H.R. 1707
"H.J. Res. 118, a joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Office of Family Assistance of the Administration for Children and Families of the Department of Health","Mon, 17 Sep 2012 19:26:00 -0400",https://www.cbo.gov/publication/43621,"As ordered reported by the House Committee on Education and the Workforce on September 13, 2012",H.J. Res. 118
"H.J. Res. 118, a joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Office of Family Assistance of the Administration for Children and Families of the Department of Health","Mon, 17 Sep 2012 19:17:01 -0400",https://www.cbo.gov/publication/43620,"As ordered reported by the House Committee on Ways and Means on September 13, 2012",H.J. Res. 118
"H.R. 6016, Government Employee Accountability Act","Fri, 14 Sep 2012 16:40:00 -0400",https://www.cbo.gov/publication/43616,"As ordered reported by the House Committee on Oversight and Government Reform on June 27, 2012",H.R. 6016
"H.R. 6313, a bill to promote peaceful and collaborative resolution of maritime territorial disputes in the South China Sea and its environs and other maritime areas adjacent to the East Asian mainland","Fri, 14 Sep 2012 16:40:00 -0400",https://www.cbo.gov/publication/43617,"As amended by the House Committee on Foreign Affairs on September 12, 2012",H.R. 6313
"H.R. 6361, Vulnerable Veterans Housing Reform Act of 2012","Fri, 14 Sep 2012 14:02:30 -0400",https://www.cbo.gov/publication/43615,"As ordered reported by the House Committee on Financial Services on September 12, 2012",H.R. 6361
"H.R. 4402, Critical Minerals Policy Act of 2012","Thu, 13 Sep 2012 22:27:15 -0400",https://www.cbo.gov/publication/43585,"Pay-As-You Go Effects for H.R. 4402, with an amendment, as provided to CBO by the Senate Committee on the Budget on September 11, 2012",
"H.R. 6060, Endangered Fish Recovery Programs Extension Act of 2012","Wed, 12 Sep 2012 16:37:00 -0400",https://www.cbo.gov/publication/43584,"As ordered reported by the House Committee on Natural Resources on August 1, 2012",H.R. 6060
"H.R. 5961, Farmer’s Privacy Act of 2012","Wed, 12 Sep 2012 16:36:00 -0400",https://www.cbo.gov/publication/43583,"As ordered reported by the House Committee on Transportation and Infrastructure on July 26, 2012",H.R. 5961
"H.R. 6365, National Security and Job Protection Act","Wed, 12 Sep 2012 14:40:02 -0400",https://www.cbo.gov/publication/43582,"As posted on the Web site of the House Committee on Rules on September 7, 2012",H.R. 6365
"S. 2178, Federal Real Property Asset Management Reform Act of 2012","Tue, 11 Sep 2012 17:08:21 -0400",https://www.cbo.gov/publication/43580,"As ordered reported by the Senate Committee on Homeland Security and Governmental Affairs on June 29, 2012",S. 2178
"H.J. Res. 117, The Continuing Appropriations Resolution, 2013","Tue, 11 Sep 2012 16:28:09 -0400",https://www.cbo.gov/publication/43581,"CBO Estimate of the Continuing Appropriations Resolution (H.J.Res. 117), as Introduced in the House and as posted Sept. 10 on the website of the House Committee on Rules.
",H.J. Res. 117
"H.R. 3397, Cabin Fee Act of 2012","Mon, 10 Sep 2012 17:35:00 -0400",https://www.cbo.gov/publication/43578,"Pay-As-You Go Effects for H.R. 3397, the Cabin Fee Act of 2012, with an amendment, as provided to CBO by the House Committee on the Budget on September 7, 2012",H.R. 3397
"S. 3457, Veterans Jobs Corps Act of 2012","Mon, 10 Sep 2012 17:35:00 -0400",https://www.cbo.gov/publication/43579,"Preliminary Estimate of Changes to Direct Spending and Revenues Under S. 3457, the Veterans Jobs Corps Act of 2012, as introduced on July 30, 2012",S. 3457
"H.R. 2706, Billfish Conservation Act of 2011","Fri, 07 Sep 2012 22:10:13 -0400",https://www.cbo.gov/publication/43569,"As ordered reported by the House Committee on Natural Resources on August 1, 2012",H.R. 2706
"Citrus, Wool, and Cotton Trust Fund Act of 2012","Fri, 07 Sep 2012 22:10:10 -0400",https://www.cbo.gov/publication/43570,"As ordered reported by the Senate Committee on Finance on July 18, 2012",
"H.R. 6213, No More Solyndras Act","Tue, 04 Sep 2012 17:18:00 -0400",https://www.cbo.gov/publication/43566,"As ordered reported by the House Committee on Energy and Commerce on August 1, 2012",H.R. 6213
Family and Business Tax Cut Certainty Act of 2012,"Fri, 31 Aug 2012 13:27:00 -0400",https://www.cbo.gov/publication/43565,"As ordered reported by the Senate Committee on Finance on August 2, 2012",
"S. 2156, Migratory Bird Habitat Investment and Enhancement Act","Thu, 30 Aug 2012 16:57:00 -0400",https://www.cbo.gov/publication/43563,"As ordered reported by the Senate Committee on Environment and Public Works
on July 25, 2012",S. 2156
"H.R. 5544, Minnesota Education Investment and Employment Act","Thu, 30 Aug 2012 16:50:00 -0400",https://www.cbo.gov/publication/43564,"As ordered reported by the House Committee on Natural Resources on August 1, 2012",H.R. 5544
"S. 1980, Pirate Fishing Elimination Act","Mon, 27 Aug 2012 17:31:35 -0400",https://www.cbo.gov/publication/43562,"As ordered reported by the Senate Committee on Commerce, Science,
and Transportation on July 31, 2012",S. 1980
"H.R. 1775, Stolen Valor Act of 2012","Fri, 24 Aug 2012 15:56:00 -0400",https://www.cbo.gov/publication/43557,"As ordered reported by the House Committee on the Judiciary on August 1, 2012",H.R. 1775
"H.R. 5806, Outreach to People With Disabilities During Emergencies Act","Fri, 24 Aug 2012 15:56:00 -0400",https://www.cbo.gov/publication/43558,"As ordered reported by the House Committee on Transportation and Infrastructure on August 1, 2012",H.R. 5806
"S.J.Res. 44, a joint resolution granting consent of Congress to the State and Province Emergency Management Assistance Memorandum of Understanding","Fri, 24 Aug 2012 15:55:00 -0400",https://www.cbo.gov/publication/43559,"As reported by the Senate Committee on the Judiciary on August 2, 2012",S.J.Res. 44
"S. 3085, Responsible Homeowner Refinancing Act of 2012","Fri, 24 Aug 2012 15:54:00 -0400",https://www.cbo.gov/publication/43561,"As introduced in the United States Senate on May 10, 2012",S. 3085
"H.R. 6190, Asthma Inhalers Relief Act of 2012","Thu, 23 Aug 2012 16:16:59 -0400",https://www.cbo.gov/publication/43554,"As ordered reported by the House Committee on Energy and Commerce on August 1, 2012",H.R. 6190
"H.R. 6215, a bill to amend the Trademark Act of 1946 to correct an error in the provisions relating to remedies for dilution","Thu, 23 Aug 2012 16:16:59 -0400",https://www.cbo.gov/publication/43556,"As ordered reported by the House Committee on the Judiciary on August 1, 2012",H.R. 6215
"H.R. 6194, U.S. Agriculture Sector Relief Act of 2012","Thu, 23 Aug 2012 16:16:09 -0400",https://www.cbo.gov/publication/43555,"As ordered reported by the House Committee on Energy and Commerce on August 1, 2012",H.R. 6194
"H.R. 2800, Missing Alzheimer’s Disease Patient Alert Program Reauthorization Act of 2012","Thu, 23 Aug 2012 16:16:06 -0400",https://www.cbo.gov/publication/43553,"As ordered reported by the House Committee on the Judiciary on August 1, 2012",H.R. 2800
"S. 2234, End Trafficking in Government Contracting Act of 2012","Wed, 22 Aug 2012 16:06:00 -0400",https://www.cbo.gov/publication/43550,"As ordered reported by the Senate Committee on Homeland Security and Governmental Affairs on June 29, 2012",S. 2234
"H.R. 4278, Preserving Rural Resources Act of 2012","Wed, 22 Aug 2012 14:00:00 -0400",https://www.cbo.gov/publication/43548,"As ordered reported by the House Committee on Transportation and Infrastructure on July 26, 2012",H.R. 4278
"S. 710, the Hazardous Waste Electronic Manifest Establishment Act","Wed, 22 Aug 2012 14:00:00 -0400",https://www.cbo.gov/publication/43549,"As ordered reported by the House Committee on Energy and Commerce on August 1, 2012",S. 710
"S. 3410, a bill to extend the Undertaking Spam, Spyware, and Fraud Enforcement with Enforcers beyond Borders Act of 2006, and for other purposes","Thu, 16 Aug 2012 16:13:00 -0400",https://www.cbo.gov/publication/43537,"As reported by the Senate Committee on Commerce, Science, and Transportation on July 31, 2012",S. 3410
"H.R. 6131, a bill to extend the Undertaking Spam, Spyware, and Fraud Enforcement with Enforcers beyond Borders Act of 2006, and for other purposes","Thu, 16 Aug 2012 16:13:00 -0400",https://www.cbo.gov/publication/43538,"As ordered reported by the House Committee on Energy and Commerce on July 31, 2012",H.R. 6131
"H.R. 6122,  a bill to revise the authority of the Library of Congress to accept gifts and bequests on behalf of the Library, and for other purposes","Thu, 16 Aug 2012 14:36:00 -0400",https://www.cbo.gov/publication/43536,"As ordered reported by the Committee on House Administration on July 19, 2012",H.R. 6122
"S. 250, Justice for All Reauthorization Act of 2012","Tue, 14 Aug 2012 16:00:00 -0400",https://www.cbo.gov/publication/43533,"As reported by the Senate Committee on the Judiciary on June 21, 2012",S. 250
"S. 357, the Wildlife Disease Emergency Act of 2011","Tue, 14 Aug 2012 16:00:00 -0400",https://www.cbo.gov/publication/43534,"As ordered reported by the Senate Committee on Environment and Public Works on July 25, 2012",S. 357
"H.R. 6007, North Texas Zebra Mussel Barrier Act of 2012","Tue, 14 Aug 2012 16:00:00 -0400",https://www.cbo.gov/publication/43535,"As ordered reported by the House Committee on Natural Resources on August 1, 2012",H.R. 6007
"H.R. 2541, Silviculture Regulatory Consistency Act","Fri, 10 Aug 2012 15:00:00 -0400",https://www.cbo.gov/publication/43530,"As ordered reported by the House Committee on Transportation and Infrastructure on July 26, 2011",H.R. 2541
"S. 225, Access to Information About Missing Children Act of 2012","Fri, 10 Aug 2012 15:00:00 -0400",https://www.cbo.gov/publication/43531,"As reported by the Senate Committee on the Judiciary on August 2, 2012",S. 225
"H.R. 4305, Child and Elderly Missing Alert Program","Fri, 10 Aug 2012 15:00:00 -0400",https://www.cbo.gov/publication/43532,"As ordered reported by the House Committee on the Judiciary on August 1, 2012",H.R. 4305
"H.R. 6185, Local Courthouse Safety Act of 2012","Thu, 09 Aug 2012 12:05:00 -0400",https://www.cbo.gov/publication/43525,"As ordered reported by the House Committee on the Judiciary on August 1, 2012",H.R. 6185
"H.R. 5319, Nashua River Wild and Scenic River Study Act","Thu, 09 Aug 2012 12:05:00 -0400",https://www.cbo.gov/publication/43526,"As ordered reported by the House Committee on Natural Resources on August 1, 2012",H.R. 5319
"S. 2389, A bill to deem the submission of certain claims to an Indian Health Service contracting officer as timely","Tue, 07 Aug 2012 11:17:00 -0400",https://www.cbo.gov/publication/43519,"As ordered reported by the Senate Committee on Indian Affairs on June 28, 2012",S. 2389
"S. 285, an act for the relief of Sopuruchi Chukwueke","Fri, 03 Aug 2012 12:00:00 -0400",https://www.cbo.gov/publication/43518,"As ordered reported by the House Committee on the Judiciary on August 1, 2012",S. 285
"H.R. 4057, a bill to amend title 38, United States Code, to direct the Secretary of Veterans Affairs to develop a comprehensive policy to improve outreach and transparency to veterans and members of the Armed Forces through the provision of information on","Thu, 02 Aug 2012 16:26:24 -0400",https://www.cbo.gov/publication/43513,"As ordered reported by the House Committee on Veterans’ Affairs on July 11, 2012",H.R. 4057
"H.R. 6233, Agricultural Disaster Assistance Act of 2012","Wed, 01 Aug 2012 18:39:55 -0400",https://www.cbo.gov/publication/43511,"As introduced on July 31, 2012",H.R. 6233
"S. 1956, European Union Emissions Trading Scheme Prohibition Act of 2011","Wed, 01 Aug 2012 16:39:02 -0400",https://www.cbo.gov/publication/43510,"As ordered reported by the Senate Committee on Commerce, Science, and Transportation on July 31, 2012",S. 1956
"S. 1515, United States Secret Service Retirement Act of 2012","Wed, 01 Aug 2012 16:39:01 -0400",https://www.cbo.gov/publication/43509,"As ordered reported by the Senate Committee on Homeland Security and Governmental Affairs on May 16, 2012",S. 1515
Intelligence Authorization Act for Fiscal Year 2013,"Tue, 31 Jul 2012 16:16:00 -0400",https://www.cbo.gov/publication/43505,"As ordered reported by the Senate Select Committee on Intelligence
on July 25, 2012",
Enforcing Orders and Reducing Customs Evasion Act of 2012,"Fri, 27 Jul 2012 13:39:00 -0400",https://www.cbo.gov/publication/43490,"As ordered reported by the Senate Committee on Finance on July 18, 2012",
"H.R. 915, Jaime Zapata Border Enforcement Security Task Force Act","Fri, 27 Jul 2012 13:39:00 -0400",https://www.cbo.gov/publication/43492,"As ordered reported by the Senate Committee on Homeland Security and Governmental Affairs on June 29, 2012",H.R. 915
"H.R. 1950, a bill to enact title 54, United States Code, “National Park System,” as positive law","Fri, 27 Jul 2012 13:39:00 -0400",https://www.cbo.gov/publication/43493,"As ordered reported by the House Committee on the Judiciary on July 10, 2012",H.R. 1950
"H.R. 4362, STOP Identity Theft Act of 2012","Fri, 27 Jul 2012 13:39:00 -0400",https://www.cbo.gov/publication/43494,"As ordered reported by the House Committee on the Judiciary on July 10, 2012",H.R. 4362
"H.R. 6083, Federal Agriculture Reform and Risk Management Act of 2012","Thu, 26 Jul 2012 14:07:00 -0400",https://www.cbo.gov/publication/43486,"As ordered reported by the House Committee on Agriculture July 11, 2012",H.R. 6083
"H.R. 6169, the Pathway to Job Creation through a Simpler, Fairer Tax Code Act of 2012.","Thu, 26 Jul 2012 14:07:00 -0400",https://www.cbo.gov/publication/43487,"As ordered reported by the House Committee on the Rules on July 26, 2012",H.R. 6169
"H.R. 4297, Workforce Investment Improvement Act of 2012","Thu, 26 Jul 2012 12:48:00 -0400",https://www.cbo.gov/publication/43480,"As ordered reported by the House Committee on Education and the Workforce on June 7, 2012",H.R. 4297
"S. 3406, Russia and Moldova Jackson-Vanik Repeal and Magnitsky Rule of Law Accountability Act of 2012","Tue, 24 Jul 2012 17:31:00 -0400",https://www.cbo.gov/publication/43478,"As reported by the Senate Committee on Finance on July 19, 2012",S. 3406
"H.R. 3641, Pinnacles National Park Act","Tue, 24 Jul 2012 17:30:00 -0400",https://www.cbo.gov/publication/43477,"As ordered reported by the House Committee on Natural Resources on July 11, 2012",H.R. 3641
"Letter to the Honorable John Boehner providing an estimate for H.R. 6079, the Repeal of Obamacare Act","Tue, 24 Jul 2012 14:10:00 -0400",https://www.cbo.gov/publication/43471,"CBO and the staff of the Joint Committee on Taxation have estimated the direct spending and revenue effects of H.R. 6079, the Repeal of Obamacare Act, as passed by the House of Representatives on July 11, 2012.",H.R. 6079
"S. 3326, a bill to amend the African Growth and Opportunity Act to extend the third country fabric program and to add South Sudan to the list of countries eligible for designation under that Act, to make technical corrections to the Harmonized Tariff Sche","Mon, 23 Jul 2012 00:00:00 -0400",https://www.cbo.gov/publication/43467,"As ordered reported by the Senate Committee on Finance on July 18, 2012",
"H.R. 4078, Red Tape Reduction and Small Business Job Creation Act","Mon, 23 Jul 2012 00:00:00 -0400",https://www.cbo.gov/publication/43470,"As posted on the Web site the House Committee on Rules on July 16, 2012, including an amendment provided to CBO on July 19, 2012",
"H.R. 3479, Natural Hazards Risk Reduction Act of 2011","Fri, 20 Jul 2012 00:00:00 -0400",https://www.cbo.gov/publication/43461,"As ordered reported by the House Committee on Science, Space, and Technology on December 1, 2011",
"H.R. 4365, a bill to amend title 5, United States Code, to make clear that accounts in the Thrift Savings Fund are subject to certain federal tax levies","Fri, 20 Jul 2012 00:00:00 -0400",https://www.cbo.gov/publication/43462,"As ordered reported by the House Committee on Oversight and Government Reform on April 18, 2012",
"H.R. 4078, Regulatory Freeze for Jobs Act of 2012","Fri, 20 Jul 2012 00:00:00 -0400",https://www.cbo.gov/publication/43465,"As ordered reported by the House Committee on Oversight and Government Reform on April 26, 2012",
"H.R. 6082, Congressional Replacement of President Obama’s Energy-Restricting and Job-Limiting Offshore Drilling Plan","Fri, 20 Jul 2012 00:00:00 -0400",https://www.cbo.gov/publication/43466,"As ordered reported by the House Committee on Natural Resources on July 18, 2012",
"H.R. 6156, Russia and Moldova Jackson-Vanik Repeal Act of 2012","Thu, 19 Jul 2012 22:27:14 -0400",https://www.cbo.gov/publication/43496,"As ordered reported by the House Committee on Ways and Means on July 26, 2012",
"H.R. 5949, FISA Amendments Act Reauthorization Act of 2012","Thu, 19 Jul 2012 00:00:00 -0400",https://www.cbo.gov/publication/43463,"As reported by the House Permanent Select Committee on Intelligence on June 28, 2012",
"S. 3276, FAA Sunsets Extension Act of 2012","Thu, 19 Jul 2012 00:00:00 -0400",https://www.cbo.gov/publication/43464,"As reported by the Senate Select Committee on Intelligence on June 7, 2012",
"H.R. 6080, a bill to make improvements in the enactment of title 41, United States Code, into a positive law title and to improve the Code","Wed, 18 Jul 2012 00:00:00 -0400",https://www.cbo.gov/publication/43459,"As ordered reported by the House Committee on the Judiciary on July 10, 2012",
"H.R. 4484, Y Mountain Access Enhancement Act","Wed, 18 Jul 2012 00:00:00 -0400",https://www.cbo.gov/publication/43460,"As ordered reported by the House Committee on Natural Resources on July 11, 2012",
"H.R. 6018, Foreign Relations Authorization Act, Fiscal Year 2013","Tue, 17 Jul 2012 15:56:00 -0400",https://www.cbo.gov/publication/43458,"As posted on the Web site of the House Committee on Rules on July 13, 2012",H.R. 6018
"H.R. 6029, Foreign and Economic Espionage Penalty Enhancement Act of 2012","Tue, 17 Jul 2012 15:55:00 -0400",https://www.cbo.gov/publication/43457,"As ordered reported by the House Committee on the Judiciary on July 10, 2012",H.R. 6029
"S. 3193, Barona Band of Mission Indians Land Transfer Clarification Act of 2012","Mon, 16 Jul 2012 13:59:17 -0400",https://www.cbo.gov/publication/43455,"As ordered reported by the Senate Committee on Indian Affairs on June 28, 2012",S. 3193
"H.R. 5958, a bill to name the Jamaica Bay Wildlife Refuge Visitor Contact Station of the Jamaica Bay Wildlife Refuge unit of Gateway National Recreation Area in honor of James L. Buckley","Fri, 13 Jul 2012 13:09:00 -0400",https://www.cbo.gov/publication/43439,"As ordered reported by the House Committee on Natural Resources on July 11, 2012.",H.R. 5958
"H.R. 4631, GSA Act of 2012","Fri, 13 Jul 2012 13:08:00 -0400",https://www.cbo.gov/publication/43437,"As ordered reported by the House Committee on Oversight and Government Reform on June 27, 2012",H.R. 4631
"S. 3315, GAO Mandates Revision Act of 2012","Thu, 12 Jul 2012 15:45:00 -0400",https://www.cbo.gov/publication/43434,"As ordered reported by the Senate Committee on Homeland Security and Governmental Affairs on June 29, 2012",S. 3315
"H.R. 3120, Student Visa Reform Act","Wed, 11 Jul 2012 18:17:42 -0400",https://www.cbo.gov/publication/43431,"As ordered reported by the House Committee on the Judiciary on June 28, 2012",H.R. 3120
"S. 2170 , Hatch Act Modernization Act of 2012","Wed, 11 Jul 2012 00:00:00 -0400",https://www.cbo.gov/publication/43430,"As ordered reported by the Senate Committee on Homeland Security and Governmental Affairs on June 29, 2012",
"H.R. 443, an act to provide for the conveyance of certain property from the United States to the Maniilaq Association located in Kotzebue, Alaska","Tue, 10 Jul 2012 14:45:00 -0400",https://www.cbo.gov/publication/43423,"As ordered reported by the Senate Committee on Indian Affairs on June 28, 2012",H.R. 443
"H.R. 1272, the Minnesota Chippewa Tribe Judgment Fund Distribution Act of 2012","Tue, 10 Jul 2012 14:45:00 -0400",https://www.cbo.gov/publication/43424,"As ordered reported by the Senate Committee on Indian Affairs on June 28, 2012",H.R. 1272
"H.R. 1560, an act to amend the Ysleta del Sur Pueblo and Alabama and Coushatta Indian Tribes of Texas Restoration Act to allow the Ysleta del Sur Pueblo Tribe to determine blood quantum requirement for membership in that tribe","Tue, 10 Jul 2012 14:45:00 -0400",https://www.cbo.gov/publication/43425,"As ordered reported by the Senate Committee on Indian Affairs on June 28, 2012",H.R. 1560
