Title,Date,Link,Description,Bill_Number,PDF Link
"H.R. 5469, Pursuing Equity in Mental Health Act of 2019","Thu, 24 Dec 2020 15:56:00 -0500",https://www.cbo.gov/publication/56934,"As ordered reported by the House Committee on Energy and Commerce on September 9, 2020
",H.R. 5469,https://www.cbo.gov//system/files/2020-12/hr5469.pdf
"H.R. 5572, Family Support Services for Addiction Act of 2020","Thu, 24 Dec 2020 15:56:00 -0500",https://www.cbo.gov/publication/56935,"As ordered reported by the House Committee on Energy and Commerce on September 9, 2020
",H.R. 5572,https://www.cbo.gov//system/files/2020-12/hr5572.pdf
"H.R. 4439, Creating Hope Reauthorization Act","Thu, 24 Dec 2020 15:54:00 -0500",https://www.cbo.gov/publication/56939,"As ordered reported by the House Committee on Energy and Commerce on September 9, 2020
",H.R. 4439,https://www.cbo.gov//system/files/2020-12/hr4439.pdf
"H.R. 8134, Consumer Product Safety Inspection Enhancement Act","Thu, 24 Dec 2020 15:54:00 -0500",https://www.cbo.gov/publication/56940,"As ordered reported by the House Committee on Energy and Commerce on September 9, 2020
",H.R. 8134,https://www.cbo.gov//system/files/2020-12/hr8134.pdf
"H.R. 8128, Consumer Safety Technology Act","Thu, 24 Dec 2020 15:54:00 -0500",https://www.cbo.gov/publication/56941,"As ordered reported by the House Committee on Energy and Commerce on September 9, 2020
",H.R. 8128,https://www.cbo.gov//system/files/2020-12/hr8128.pdf
"H.R. 8121, Pandemic Effects on Home Safety and Tourism Act","Thu, 24 Dec 2020 15:54:00 -0500",https://www.cbo.gov/publication/56942,"As ordered reported by the House Committee on Energy and Commerce on September 9, 2020
",H.R. 8121,https://www.cbo.gov//system/files/2020-12/hr8121.pdf
"H.R. 4499, NIMHD Research Endowment Revitalization Act of 2019","Thu, 24 Dec 2020 15:54:00 -0500",https://www.cbo.gov/publication/56943,"As ordered reported by the House Committee on Energy and Commerce on September 9, 2020
",H.R. 4499,https://www.cbo.gov//system/files/2020-12/hr4499.pdf
"H.R. 5187, Housing is Infrastructure Act of 2020","Tue, 22 Dec 2020 16:59:00 -0500",https://www.cbo.gov/publication/56917,"As ordered reported by the House Committee on Financial Services on February 28, 2020
",H.R. 5187,https://www.cbo.gov//system/files/2020-12/hr5187.pdf
"Division M of H.R. 133, the Consolidated Appropriations Act, 2021","Tue, 22 Dec 2020 16:09:00 -0500",https://www.cbo.gov/publication/56916,"As cleared by the Congress on December 21, 2020
",H.R. 133,https://www.cbo.gov//system/files/2020-12/Cost%20Estimate%20for%20Division%20M%20of%20H.R.%20133%20the%20Coronavirus%20Response%20and%20Relief%20Supplemental%20Appropriations%20Act%202021.pdf
"H.R. 3935, Protecting Patients Transportation to Care Act","Tue, 22 Dec 2020 15:30:00 -0500",https://www.cbo.gov/publication/56914,"As passed by the House of Representatives on September 21, 2020
",H.R. 3935,https://www.cbo.gov//system/files/2020-12/hr3935.pdf
"H.R. 6196, TM Act of 2020","Tue, 22 Dec 2020 15:30:00 -0500",https://www.cbo.gov/publication/56915,"As ordered reported by the House Committee on the Judiciary on September 9, 2020
",H.R. 6196,https://www.cbo.gov//system/files/2020-12/hr6196.pdf
"Divisions A through L of the House Amendment to the Senate Amendment to H.R. 133, the Consolidated Appropriations Act, 2021 (Rules Committee Print 116-68)","Mon, 21 Dec 2020 17:10:00 -0500",https://www.cbo.gov/publication/56913,"As posted on the House Committee on Rules Website on December 21, 2020
",H.R. 133,https://www.cbo.gov//system/files/2020-12/hr133.pdf
"H.R. 5287, Fair Student Loan Debt Collection Practices Act","Wed, 09 Dec 2020 16:00:00 -0500",https://www.cbo.gov/publication/56901,"As ordered reported by the House Committee on Financial Services on December 10, 2019
",H.R. 5287,https://www.cbo.gov//system/files/2020-12/HR5287.pdf
"H.R. 5330, Consumer Protection for Medical Debt Collections Act","Wed, 09 Dec 2020 16:00:00 -0500",https://www.cbo.gov/publication/56902,"As ordered reported by the House Committee on Financial Services on December 11, 2019
",H.R. 5330,https://www.cbo.gov//system/files/2020-12/hr5330.pdf
"S. 2757, HELP for Small Business Act","Wed, 09 Dec 2020 16:00:00 -0500",https://www.cbo.gov/publication/56903,"As ordered reported by the Senate Committee on Homeland Security and Governmental Affairs on March 11, 2020
",S. 2757,https://www.cbo.gov//system/files/2020-12/S2757.pdf
