Title,Date,Link,Description,Bill_Number,PDF Link
"S. 3688, International Professional Exchange Act of 2010","Wed, 22 Dec 2010 01:00:00 -0500",https://www.cbo.gov/publication/21997,"Cost estimate for the bill as ordered reported by the Senate Committee on Foreign Relations on December 14, 2010",S. 3688,https://www.cbo.gov//sites/default/files/111th-congress-2009-2010/costestimate/s36880.pdf
"H.R. 6517, Omnibus Trade Act of 2010","Wed, 22 Dec 2010 01:00:00 -0500",https://www.cbo.gov/publication/21998,Pay-as-you-go estimate for the Senate amendment in the nature of a substitute to H.R. 6517,H.R. 6517,https://www.cbo.gov//sites/default/files/111th-congress-2009-2010/costestimate/hr651700.pdf
"H.R. 847, James Zadroga 9/11 Health and Compensation Act of 2010","Wed, 22 Dec 2010 01:00:00 -0500",https://www.cbo.gov/publication/21996,"Cost estimate for H.R. 847 as adopted by the Senate on December 22, 2010",H.R. 847,https://www.cbo.gov//sites/default/files/111th-congress-2009-2010/costestimate/hr84720.pdf
"H.R. 847, James Zadroga 9/11 Health and Compensation Act of 2010","Mon, 20 Dec 2010 01:00:00 -0500",https://www.cbo.gov/publication/21994,Cost estimate for the draft amendment in the nature of a substitute for H.R. 847,H.R. 847,https://www.cbo.gov//sites/default/files/111th-congress-2009-2010/costestimate/hr84710.pdf
"H.R. 2751, FDA Food Safety Modernization Act","Mon, 20 Dec 2010 01:00:00 -0500",https://www.cbo.gov/publication/21995,"Pay-as-you-go estimate for the bill as passed by the Senate on December 19, 2010",H.R. 2751,https://www.cbo.gov//sites/default/files/111th-congress-2009-2010/costestimate/hr275100.pdf
"S. 482, Senate Campaign Disclosure Parity Act","Fri, 17 Dec 2010 01:00:00 -0500",https://www.cbo.gov/publication/21989,"Pay-as-you-go estimate for the bill as provided to CBO by the Senate Committee on the Budget on December 17, 2010",S. 482,https://www.cbo.gov//sites/default/files/111th-congress-2009-2010/costestimate/s4820.pdf
"H.R. 5116, America COMPETES Reauthorization Act of 2010","Fri, 17 Dec 2010 01:00:00 -0500",https://www.cbo.gov/publication/21990,"Pay-as-you-go estimate for the bill as transmitted by the Senate Committee on Commerce, Science, and Transportation on December 17, 2010, with an Amendment",H.R. 5116,https://www.cbo.gov//sites/default/files/111th-congress-2009-2010/costestimate/hr511600.pdf
"S. 118, Section 202 Supportive Housing for the Elderly Act of 2010","Fri, 17 Dec 2010 01:00:00 -0500",https://www.cbo.gov/publication/21991,"Pay-as-you-go estimate for the bill as provided to CBO by the Senate Committee on the Budget on December 17, 2010",S. 118,https://www.cbo.gov//sites/default/files/111th-congress-2009-2010/costestimate/s11810.pdf
"H.R. 6523, Ike Skelton National Defense Authorization Act for Fiscal Year 2011","Thu, 16 Dec 2010 01:00:00 -0500",https://www.cbo.gov/publication/21987,"Pay-as-you-go estimate for the bill as introduced in the House of Representatives on December 15, 2010",H.R. 6523,https://www.cbo.gov//sites/default/files/111th-congress-2009-2010/costestimate/hr65230.pdf
"H.R. 5026, An act to amend the Federal Power Act to protect the bulk-power system and electric infrastructure critical to the defense of the United States against cybersecurity and other threats and vulnerabilities","Thu, 16 Dec 2010 01:00:00 -0500",https://www.cbo.gov/publication/21988,"Pay-as-you-go estimate for the bill as ordered reported by the Senate Committee on Energy and Natural Resources on August 5, 2010, with an amendment transmitted on December 16, 2010",H.R. 5026,https://www.cbo.gov//sites/default/files/111th-congress-2009-2010/costestimate/hr502610.pdf
